Password,Score,Strength,Vulnerabilities
u82blkby,62,Medium,"['Missing uppercase', 'Missing special characters']"
rcetv9do,62,Medium,"['Missing uppercase', 'Missing special characters']"
"f6o,l35^_d:bX6ex",100,Strong,[]
AiPN?aKpY?x\pp{,80,Strong,['Missing numbers']
hj8kdx,54,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
lODs9?O,88,Strong,['Too short (< 8 chars)']
;PN(/6,74,Medium,['Too short (< 8 chars)']
"v}Mr;m#G,,",80,Strong,['Missing numbers']
{)eu2*P^l*57,100,Strong,[]
Obw<m5a$qs9{,100,Strong,[]
!r_:SPn>,72,Medium,['Missing numbers']
nwqz,26,Weak,"['Too short (< 8 chars)', 'Missing numbers', 'Missing uppercase', 'Missing special characters']"
",-8AhXX$[ZJ{W",100,Strong,[]
"?I9Dl:T""DKlJ`",100,Strong,[]
M/2N?U,74,Medium,['Too short (< 8 chars)']
!uc\f|Y,68,Medium,"['Too short (< 8 chars)', 'Missing numbers']"
q0q4f3,54,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
",LP~l.dHCh",80,Strong,['Missing numbers']
UGrwh'4>~{PZL_~),100,Strong,[]
"okbV6,hW",92,Strong,[]
7ti`PwAh,92,Strong,[]
9ml9rj,54,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
8fvd,46,Weak,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
yPb704_~Xr}GxoS`,100,Strong,[]
m+<Gn+'=h|T\M-gN,80,Strong,['Missing numbers']
FUX`3ig|uP8q,100,Strong,[]
~F221jQk@(>V,100,Strong,[]
xp9njlvj,62,Medium,"['Missing uppercase', 'Missing special characters']"
",b@q4}M",88,Strong,['Too short (< 8 chars)']
sUrjD=)^$/e,80,Strong,['Missing numbers']
N)$izx+Uw|cL,80,Strong,['Missing numbers']
-KXq5vxu0VOf3,100,Strong,[]
2U6j[5pq:\%,100,Strong,[]
"o~K%utL|?=b""Ee",80,Strong,['Missing numbers']
"s$vB0G$O00N;*""`",100,Strong,[]
{4Mxl$P'@0ZuU|,100,Strong,[]
"Cf9""'o]OU#`k",100,Strong,[]
4ac142we,62,Medium,"['Missing uppercase', 'Missing special characters']"
"X|3B$U;^iqzV,,",100,Strong,[]
ppefw,30,Weak,"['Too short (< 8 chars)', 'Missing numbers', 'Missing uppercase', 'Missing special characters']"
"nbv;Sn,[",72,Medium,['Missing numbers']
xU!FkDR(S3z2^^,100,Strong,[]
8p0lr,50,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
NWq3TM]5,92,Strong,[]
ph5628ku,62,Medium,"['Missing uppercase', 'Missing special characters']"
Ig?>rC:9YC*,100,Strong,[]
+EaN\vPoUc?<p[(@,80,Strong,['Missing numbers']
nK7#z'hT,92,Strong,[]
)7:HOZ0[U.:{&,90,Strong,[]
tckycp,34,Weak,"['Too short (< 8 chars)', 'Missing numbers', 'Missing uppercase', 'Missing special characters']"
