Password,Score,Strength,Vulnerabilities
}K&Q/zT_{,76,Medium,['Missing numbers']
wx76,46,Weak,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
buB!CEnjvSf5,100,Strong,[]
bp`>@Y<AP>#{.LS,80,Strong,['Missing numbers']
t(/:';-y*0gc(,90,Strong,['Missing uppercase']
47u[eCjNl,96,Strong,[]
7e647uot,62,Medium,"['Missing uppercase', 'Missing special characters']"
PcfJX~8,88,Strong,['Too short (< 8 chars)']
]_kN/eysQ'QGCo,80,Strong,['Missing numbers']
a_zZPsl~8{j)Ce'?,100,Strong,[]
W1R<#GS,78,Medium,['Too short (< 8 chars)']
xslt4,50,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
ugt1eey,58,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
P~tJr|'C6>x+,100,Strong,[]
Wv5iY^qv;Ht?zu,100,Strong,[]
:TUmJfPLR?;A1FQ|,100,Strong,[]
"x,**$Zf[{yjr0I+",100,Strong,[]
(L+hlhT;O_.,80,Strong,['Missing numbers']
/lo94;dbC,96,Strong,[]
K^Ki1Fro,92,Strong,[]
1h73,46,Weak,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
6sHF{.*{1U,100,Strong,[]
33nu3,50,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
b(^$mEk,68,Medium,"['Too short (< 8 chars)', 'Missing numbers']"
aPNrn&\?,72,Medium,['Missing numbers']
C]YZ@3GuLYNo,100,Strong,[]
;e:pHio]wC?%{u,80,Strong,['Missing numbers']
h>-yHYC||bprGM,80,Strong,['Missing numbers']
On/!'8,84,Strong,['Too short (< 8 chars)']
CQ6\Ol?h;!E2b,100,Strong,[]
"6tES*{,uph.udj.",100,Strong,[]
"?U5&S""(#",82,Strong,[]
`D6nzUA@w\)1f/,100,Strong,[]
>C%~g&c}f,76,Medium,['Missing numbers']
ox<mJ+,64,Medium,"['Too short (< 8 chars)', 'Missing numbers']"
'}OGIa`0,92,Strong,[]
X{K9FyC0hj|g$,100,Strong,[]
'*uh;#uvGCRU3n,100,Strong,[]
nmpiz8,54,Medium,"['Too short (< 8 chars)', 'Missing uppercase', 'Missing special characters']"
k*>sfoiGZ[XT,80,Strong,['Missing numbers']
+(Hz]{DXC,76,Medium,['Missing numbers']
r{|}r-~>v10,90,Strong,['Missing uppercase']
"PA-WTy4~dgtgDk""",100,Strong,[]
UZ~_jJ<eSMP!9,100,Strong,[]
"&~_jO""LP'\s)E,w",80,Strong,['Missing numbers']
?9Q]@.J,78,Medium,['Too short (< 8 chars)']
sav6mpua,62,Medium,"['Missing uppercase', 'Missing special characters']"
AvKDn8g-,92,Strong,[]
{^_GpB*[hp7b#MXb,100,Strong,[]
J_n'c39<,92,Strong,[]
